Nom,Lien
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-
galihru/MentalHealth,https://github.com/galihru/MentalHealth
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot
